GP Practice,GP Practice No,Question Number,"Questionnaire 
Section",Question Text,Number of Responses,% Positive,% Neutral,% Negative
Lochnaw Practice - Stranraer (18593),18593,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,76,43.46,35.42,21.12
Lochthorn Medical Centre - Dumfries (18288),18288,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,105,52.86,24.54,22.6
Lochview Medical Practice - Greenock (86360),86360,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,96,30.59,19.6,49.81
Lockerbie Medical Practice - Lockerbie (18358),18358,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,78,4.68,31.07,64.26
Logan Practice - Wishaw (62933),62933,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,69,14.95,45.11,39.94
Lorn Medical Centre - Oban (84581),84581,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,99,27.46,26.11,46.43
Lour Road Group Practice - Forfar (13284),13284,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,87,36.28,29.66,34.07
Ludovic Medical Practice - Johnstone (87292),87292,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,112,44.95,28.56,26.49
Lybster Medical Centre - Caithness (55094),55094,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,70,52.46,25.61,21.93
Macduff Medical Practice - Banff (31437),31437,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,79,30.56,20.99,48.44
Macinnes Medical Centre - Newarthill (63546),63546,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,95,39.29,21.35,39.36
Mackenzie Medical Centre - Edinburgh (70381),70381,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,102,39.99,26.41,33.61
Main Street Medical Centre - Glasgow (46184),46184,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,76,35.81,32.05,32.14
Mallaig And Arisaig Medical Practice - Mallaig (56030),56030,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,82,10.42,19.04,70.54
Manse Road Medical Centre - Newmains (63890),63890,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,86,39.88,24.97,35.14
Marchmont Medical Practice - Edinburgh (70766),70766,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,87,63.37,11.55,25.09
Markinch Medical Practice - Fife (21454),21454,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,92,33.97,25.06,40.97
Marnock Medical Group - Kilmarnock (80378),80378,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,78,19.99,27.46,52.55
Maryfield Medical Centre - Dundee (11931),11931,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,82,20.59,31.42,47.98
Maryhill Group Practice  incl. Rothes - Moray (32779),32779,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,94,19.16,22.75,58.09
Maryhill Red Practice - Glasgow (43311),43311,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,97,49.76,24.6,25.64
"Mauve Practice, Drumhar Health Centre - Perth (13975)",13975,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,70,50.79,21.82,27.39
Mavor Medical Practice - East Kilbride (63231),63231,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,90,30.49,28.23,41.29
Maybole Medical Practice - Maybole (80491),80491,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,86,48.46,29.03,22.51
McGlone Practice - Glasgow (46216),46216,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,77,29.24,21.31,49.44
Meadowpark Surgery - Glasgow (46625),46625,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,65,24.56,20.82,54.62
Meadows Medical Practice - Edinburgh (70451),70451,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,88,28.5,26.83,44.67
Meadows Practice - Lochgelly (21384),21384,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,79,36.74,26.38,36.87
Mearns Medical Centre - Glasgow (49337),49337,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,87,33.11,26.91,39.98
Medwyn Medical Practice - Carnwath (63917),63917,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,105,34.54,31.76,33.7
Meeks Road Surgery - Falkirk (25281),25281,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,96,20.08,31.08,48.84
Merrylee Medical Centre - Glasgow (49248),49248,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,66,13.57,42.49,43.94
Merse Medical Practice - Chirnside (16066),16066,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,71,41.22,26.13,32.65
Methilhaven Surgery - Fife (21505),21505,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,76,43.22,21.47,35.3
Midlock Medical Centre - Glasgow (52005),52005,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,91,40.68,37.35,21.97
Mill Lane Surgery - Edinburgh (71364),71364,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,93,25.4,32.83,41.77
Mill Practice - Dundee (11645),11645,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,96,35.6,28.86,35.54
Millhill Surgery - Dunfermline (20485),20485,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,88,33.89,20.19,45.93
Millig Practice - Helensburgh (85141),85141,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,99,33.71,29.23,37.07
Milton Surgery - Edinburgh (70427),70427,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,91,26.7,34.58,38.71
Mintlaw Group Practice - Mintlaw (31649),31649,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,87,15.91,22.39,61.7
Mistylaw Medical Practice - Lochwinnoch (87432),87432,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,91,39.01,26.3,34.69
Monifieth Medical Practice - Monifeith (13571),13571,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,90,19.71,22.69,57.6
Moray Coast Medical Practice - Lossiemouth (32764),32764,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,96,17.8,25.17,57.03
Morgan Glen Surgery - Lanarkshire (63527),63527,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,84,35.75,22.71,41.54
Morningside Medical Practice - Edinburgh (70790),70790,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,104,24.45,23.87,51.68
Mossend Surgery - Bellshill (62011),62011,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,74,41.56,32.58,25.87
Mount Florida Medical Centre - Glasgow (49681),49681,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,87,17.61,27.92,54.47
Mount Pleasant Practice - Greenock (86181),86181,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,92,29.82,36.27,33.91
Muiredge Surgery - Fife (20108),20108,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,65,30.7,22.1,47.2
Muirhead Medical Centre - Muirhead (10002),10002,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,81,46.49,30.64,22.87
Muirhouse Medical Group - Edinburgh (70662),70662,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,91,25.67,21.84,52.49
Mull & Iona Medical Group - Tobermory (84538),84538,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,102,25.5,33.61,40.89
Mull of Galloway Practice - Stranraer (18112),18112,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,84,57.09,25.29,17.62
Munlochy Surgery - Munlochy (55408),55408,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,91,42.56,20.65,36.79
Murieston Medical Practice - Livingston (78344),78344,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,98,23.68,33.95,42.38
Murrayfield Medical Centre - Edinburgh (71025),71025,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,105,38.17,31.2,30.64
Murrayfield Medical Practice - Edinburgh (70501),70501,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,101,27.03,23.39,49.58
Nairn Healthcare Group - Nairn (55041),55041,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,95,20.24,36.53,43.23
Nalagatla Medical Practice - Stepps (60073),60073,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,79,25.87,37.7,36.43
Neilston Medical Practice - Neilston (87023),87023,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,80,29.54,34.63,35.83
Nethergate Medical Centre - Dundee (12281),12281,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,99,33.28,22.38,44.34
Nethertown Surgery - Dunfermline (20451),20451,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,90,22.53,35.3,42.17
New Dyce Medical Practice - Aberdeen (30280),30280,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,95,20.8,21.89,57.3
New Park Medical Practice - Dunfermline (20466),20466,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,95,38.71,26.33,34.96
Newark Medical Practice - Port Glasgow (86321),86321,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,80,30.09,34.49,35.42
Newarthill Medical Practice - Lanarkshire (62115),62115,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,88,56.96,32.54,10.5
Newbattle Medical Practice - Midlothian (77106),77106,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,98,23.72,29.22,47.05
Newburgh Surgery - Fife (21558),21558,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,94,31.99,28.94,39.07
Newburn Health Centre - Aberdeen (30078),30078,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,78,11.61,22.52,65.87
Newbyres Medical Group - Gorebridge (77159),77159,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,80,25.07,29.41,45.51
Newcastleton Medical Practice - Newcastleton (16047),16047,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,89,75.49,11.28,13.23
Newhills Medical Practice - Glasgow (46451),46451,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,67,32.15,35.99,31.86
Newland Medical Practice - Bathgate (78077),78077,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,96,24.9,23.71,51.38
Nicol Street Surgery - Fife (20950),20950,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,88,53.08,19.72,27.19
Niddrie Medical Practice - Edinburgh (70198),70198,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,88,35.65,22.88,41.47
Nithsdale Merryvale Group Practice - Glasgow (49144),49144,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,96,32.78,32.66,34.56
North Avenue Surgery - Cambuslang (60143),60143,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,82,7.85,25.33,66.82
North Berwick Group Practice - North Berwick (76137),76137,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,103,18.16,30.73,51.11
North Glen Medical Practice - Glenrothes (20611),20611,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,69,40.38,30.44,29.17
North Harris Medical Practice - Isle of Harris (90098),90098,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,89,57.36,16.04,26.6
North Uist Medical Practice - Isle Of North Uist (90115),90115,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,92,58.79,34.71,6.5
Northcote Surgery - Glasgow (40140),40140,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,103,21.97,20.79,57.24
Oak Lodge - Hamilton (63442),63442,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,72,22.5,26.37,51.13
Oak View Medical Practice - Alexandria (85403),85403,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,85,43.44,23.97,32.59
Oakley Medical Practice - Fife (21613),21613,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,94,25.52,26.65,47.83
"Oakwood Medical Practice, Glasgow (46221)",46221,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,58,48.91,22.12,28.97
Ochil Medical Practice - Sauchie (25027),25027,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,80,22.77,35.98,41.25
Ochilview Practice - Stenhousemuir (25671),25671,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,78,25.04,27.35,47.6
O'Connell Street Medical Practice - Hawick (16141),16141,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,71,31.43,23.62,44.95
Old Kilpatrick Medical Practice - Glasgow (40065),40065,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,98,36.03,29.61,34.36
Old Mill Surgery - Viewpark (63828),63828,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,101,16.22,27.17,56.61
Oldmachar Medical Practice - Aberdeen (30504),30504,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,77,24.96,17.26,57.78
"Orcades Practice - Kirkwall, Orkney (38239)",38239,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,92,70.35,13.5,16.14
Orchard House Health Centre - Stirling (25525),25525,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,97,48.13,23.84,28.03
Orchard Medical Centre - Motherwell (62609),62609,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,89,36.13,26.5,37.37
Ormiston Medical Practice - Ormiston (76211),76211,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,82,34.8,31.46,33.75
Orwell Practice - Kinross (13496),13496,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,99,64.71,21.22,14.07
Overtoun Medical Practice - Rutherglen (60139),60139,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,106,58.16,11.24,30.6
Oxenward Surgery - Ayrshire (80768),80768,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,94,34.24,30.74,35.01
Park Avenue Medical Centre - Dundee (11005),11005,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,77,45.57,21.48,32.95
Park Avenue Medical Centre - Stirling (25582),25582,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,82,17.95,39.38,42.67
Park Road Practice - Rosyth (21760),21760,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,99,37.13,25.68,37.19
Park Terrace Medical Practice - Stirling (25506),25506,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,95,42.69,27.36,29.95
Parkgrove Medical Practice - Edinburgh (71401),71401,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,105,17.05,29.11,53.84
Parkhill Medical Practice - Falkirk (25460),25460,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,113,18.54,33.48,47.98
"Parkview Practice - Rutherglen Health Centre, Rutherglen (60196)",60196,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,86,48.18,34.31,17.5
Parkview Practice - Stenhousemuir (25402),25402,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,73,49.94,26.3,23.76
Path House Medical Practice - Kirkcaldy (20998),20998,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,90,34.85,27.13,38.02
Pathhead Medical Practice - Pathhead (77125),77125,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,102,37.75,31.08,31.18
Peel Street Medical Centre - Glasgow (40296),40296,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,57,55.71,23.07,21.22
Peelview Medical Centre - Kirkintilloch (43114),43114,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,105,37.97,24.28,37.75
Penicuik Medical Practice - Penicuik (77111),77111,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,94,35.57,20.53,43.9
Pennan Practice - Glasgow (40084),40084,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,91,40.52,29.97,29.51
Perth City Medical Centre - Perth (14291),14291,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,99,25.96,36.7,37.34
Peterculter Medical Practice - Peterculter (31244),31244,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,70,11.53,21.83,66.64
Peterhead Health Centre - Peterhead (31634),31634,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,70,33.28,26.48,40.23
"Pipeland Medical Practice - St Andrews, Fife (21830)",21830,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,90,18.92,29.72,51.36
Pitcairn Practice Leuchars & Balmullo - Fife (21204),21204,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,94,46.79,27.37,25.84
Pollokshaws Medical Centre - Glasgow (52429),52429,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,84,33.53,29.96,36.51
Polmont Park Medical Practice (25441),25441,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,85,23.39,35.61,41
Polwarth Medical Practice - Edinburgh (71011),71011,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,96,27.45,21.95,50.6
"Port Ellen Practice - Port Ellen, Isle of Islay (84345)",84345,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,77,56.42,30.98,12.6
Port Glasgow Medical Centre - Port Glasgow (86336),86336,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,90,43.04,27.65,29.31
Portland Medical Practice - Kilmarnock (80908),80908,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,86,21.53,24.48,53.99
Portlethen Medical Centre - Aberdeen (32411),32411,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,87,36.97,25.74,37.29
Portree Medical Centre - Isle Of Skye (55573),55573,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,107,42.7,22.54,34.76
"Practice B, Govanhill Health Centre - Glasgow (49041)",49041,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,80,59.91,23.89,16.19
Prestonpans Group Practice - Prestonpans (76122),76122,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,72,32.31,39.4,28.28
Primrose Lane Medical Centre - Fife (21755),21755,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,90,31.87,27.26,40.87
Princes Street Surgery - Dundee (11289),11289,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,99,25.7,26.46,47.85
Quarryfoot Practice - Bonnyrigg (77074),77074,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,98,33.52,36.42,30.06
Quarryside Medical Practice - Johnstone (87305),87305,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,107,21.36,32.68,45.96
Queens Crescent Surgery - Glasgow (40154),40154,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,68,29.06,37.98,32.97
Queens Park Medical Practice - Glasgow (49286),49286,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,94,46.67,23.52,29.82
Racecourse Road Medical Group - Ayr (80096),80096,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,86,25.39,36.14,38.47
"Ratho Medical Centre - Ratho, Newbridge (71420)",71420,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,106,18.86,32.29,48.84
Ravenswood Surgery - Forfar (13195),13195,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,80,45.71,22.18,32.12
Ravenswood Surgery - Johnstone (87324),87324,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,107,22.16,31.49,46.35
"Red Practice, Whitefriars Surgery - Perth (14249)",14249,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,90,42.45,19.56,37.99
Red Wing Medical Practice - Clydebank (40046),40046,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,81,41.26,24.33,34.41
Regency Medical Practice - Glasgow (49676),49676,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,65,54,27.36,18.64
Regent Gardens Medical Centre - Kirkintilloch (43030),43030,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,103,31.25,28.16,40.59
Restalrig Park Medical Centre - Edinburgh (70569),70569,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,86,23,24.3,52.71
Rinnes Medical Group - Dufftown (33057),33057,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,93,41.3,28.16,30.54
Riverbank Practice - Caithness (55037),55037,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,82,19.26,23.27,57.47
Riverside Medical Practice - Inverness (55841),55841,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,104,28.27,24.16,47.57
Riverside Medical Practice - Patna (80522),80522,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,82,35.11,36.5,28.38
Riverside Medical Practice LLP - Musselburgh (76033),76033,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,100,4.47,12.02,83.51
Riverview Medical Practice - Wick (55131),55131,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,74,34.41,12.54,53.05
Rosehall Surgery - Shotts (62991),62991,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,90,32.33,34.91,32.75
Roslin Medical Practice - Roslin (77093),77093,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,86,24.19,28.78,47.03
Rothes Medical Practice - Glenrothes (20663),20663,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,78,23.54,28.62,47.84
Roxburgh Street Surgery - Galashiels (16013),16013,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,107,47.88,17.75,34.36
Rubislaw Place Medical Group - Aberdeen (30951),30951,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,91,27.73,26.62,45.65
Ryehill Medical Practice - Dundee (11414),11414,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,107,11.67,20.42,67.91
Saltcoats Group Practice - Saltcoats (80556),80556,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,92,31.05,34.46,34.49
Saltoun Surgery - Fraserburgh (31550),31550,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,88,23.78,17.79,58.44
Sandhead Surgery - Wigtownshire (18574),18574,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,101,63.23,23.76,13.02
Scalasaig Medical Practice - Isle of Colonsay (84129),84129,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,36,67.09,20.7,12.21
Scalloway Health Centre LLP - Shetland (39087),39087,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,108,44.33,26.81,28.86
Scoonie Medical Practice - Leven (21257),21257,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,93,35.83,28.39,35.78
Scotstoun Medical Practice - Glasgow (40563),40563,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,54,48.56,29.7,21.74
Scotstown Medical Group - Aberdeen (31206),31206,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,79,27.82,30.05,42.13
"Scourie, Kinlochbervie and Durness Medical Practice - Kinlochbervie (55304)",55304,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,92,39.6,24.29,36.11
Seafield & Cullen Medical Group - Moray (32622),32622,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,96,43.88,30.98,25.14
Selkirk Medical Practice - Selkirk (16085),16085,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,104,39.82,27.6,32.58
Shaftesbury Medical Practice - Glasgow (40210),40210,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,80,62.53,14.25,23.22
Shawlands Surgery - Glasgow (49271),49271,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,92,33.95,27.2,38.85
Shebburn Medical Practice - New Abbey (18254),18254,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,97,73.04,17.52,9.43
Sheddens Medical Practice - Glasgow (49197),49197,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,82,48.03,32.86,19.11
Shields Medical Practice - Glasgow (49801),49801,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,33,39.86,20.12,40.02
Sighthill Green Medical Practice - Edinburgh (70911),70911,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,81,42.71,16.65,40.64
Silverbank Surgery - Cambuslang (60124),60124,13e,Treatment or Advice from the GP Practice,Experience of your GP Practice: I knew the healthcare professional well,79,53.48,23.44,23.08
