gp_practice,gp_number,DataZone,PracticeListSize,q1_positive,q2_positive,q3_positive,income_rank,employment_rank,health_rank,housing_rank,education_rank,access_rank,employment_rate,CIF,working_age_percentage,urban_location,minority_pop,age_distribution,gender_distribution,employment_percentage
Drs Hilary Mcnaughtan &  Patrick J O'Neill - Glasgow (52185),52185,S01009806,3673,92.32,96.86,97.91,1217,1123,725,964,2479,5595,0.17,170,50.98,1,8.88,65.7,52.22,69.8
"Drs Howie, Smith & Dobbs - Johnstone (87339)",87339,S01012045,5456,70.37,86.04,88.45,1213,654,1253,2583,1307,6743,0.2,165,71.75,1,3.55,67.1,52.47,77.1
Drs Keenan & Fisher - Motherwell (62702),62702,S01011474,3366,86.33,90.71,90.29,851,564,332,3084,1501,6702,0.21,190,58.7,1,3.76,70.32,55.35,69.7
"Drs Lam, Wilson & Boyd - Glasgow (46112)",46112,S01010168,5153,74,93.73,83.92,767,1380,1417,690,1233,5296,0.15,180,64.24,1,0.79,68.95,49.35,69.8
Drs Langridge & Black - Glasgow (43538),43538,S01010311,2259,82.76,94.74,95.02,183,349,150,369,117,6379,0.24,245,70.44,1,10.96,74.06,47.99,69.8
"Drs Leslie, Ojo & Chetty - Woodside Health Centre, Glasgow (43186)",43186,S01010305,6624,64.53,90.61,83.9,635,1247,640,538,2788,6142,0.16,210,74.7,1,16.98,88.66,54.23,69.8
Drs Logan & Macdonald - Glasgow (40421),40421,S01010499,2576,72.65,93.02,83.01,41,75,78,258,64,6363,0.31,240,59.89,1,15.3,67.27,51.28,69.8
Drs Macdonald & Mitchell - Port Glasgow (86285),86285,S01010911,3842,66.51,88.03,93.82,439,254,380,1225,409,6900,0.25,195,59.61,1,0.92,62.86,52.03,68.2
"Drs MacNeill, Clarey & Henderson - Sandyford Surgery, Glasgow (40455)",40455,S01010285,6820,78.14,91.42,90.75,2560,3108,2955,176,3259,6966,0.09,115,83.73,1,27.68,85.72,47.52,69.8
"Drs Macpherson, Hanley & Tobin - Erskine (87184)",87184,S01012197,8889,67.44,89.81,86.15,2307,2443,1997,5958,2641,6891,0.11,140,58.32,1,1.1,66.34,51.97,77.1
"Drs McAlpine, Walker & Pettigrew, Glasgow (40277)",40277,S01010388,4291,90.57,96.6,97.7,1003,1044,703,631,1872,6877,0.17,195,76.74,1,10.83,76.58,50.66,69.8
"Drs Mccallum, Gardiner & Makun - Glasgow (46292)",46292,S01010159,3409,71.13,88.25,82.26,746,393,600,1441,2587,5583,0.23,200,59.12,1,3.54,66.09,50.84,69.8
Drs McColl & McLaughlin - Glasgow (52255),52255,S01008409,8123,78.23,92.55,87.99,3443,2863,2720,1835,4817,6428,0.1,120,58.54,1,7.61,69.65,50.17,73.6
"Drs McGivern, Murthy & Sinha - Glasgow (49130)",49130,S01009901,4160,72.75,77.52,85.87,5014,5522,5446,1816,6451,5263,0.03,60,82.96,1,14.93,76.68,48.58,69.8
"Drs McHattie, McGregor & Holland - Troon (80611)",80611,S01012566,7302,82.81,88.72,88.57,2406,1945,2352,2887,4720,6918,0.13,90,62.09,1,6.15,61.09,52,71.9
"Drs McKenna, Murphy & McCallum - Kirkcaldy (20964)",20964,S01009522,7061,59.91,92.88,88.7,1715,2252,1318,3422,1079,5280,0.12,145,60.84,1,12.96,63.67,51.47,70.4
Drs Mckenzie & Burns - Glasgow (46095),46095,S01010052,3037,70.87,93.76,88.78,666,320,193,129,224,6258,0.24,225,75.35,1,20.83,72.14,48.24,69.8
"Drs McMaster, Moore & Brooksbank - Girvan (80274)",80274,S01012433,4278,90.38,96.44,95.49,1119,869,1352,2949,2391,6040,0.18,155,58.91,0,2.58,59.96,51.12,71.9
"Drs Meek, Fox & Jamieson - Wallacewell Medical Centre, Glasgow (43275)",43275,S01010196,3482,52.52,77.55,73.03,890,1001,504,1155,838,5799,0.17,200,62.93,1,2.57,64.5,53.39,69.8
Drs Melrose and Sharp Partnership  - Glasgow (40328),40328,S01010287,4589,90.07,88.85,95.48,5444,5854,5820,209,6034,6908,0.03,45,87.84,1,22.27,87.08,45.04,69.8
"Drs Mitchell, Fordyce & Lempke - Kirkcaldy (21011)",21011,S01009522,6384,78.29,81.47,97.11,1715,2252,1318,3422,1079,5280,0.12,145,60.84,1,12.96,64.19,50.6,70.4
Drs Morrice & Partners - Glasgow (49214),49214,S01008383,8019,63.04,68.2,88.82,6362,5979,5750,6736,6922,6608,0.03,50,62.17,1,5.63,60.17,51.25,73.6
"Drs Oliver, Greeley, Innes & Spratt - Castle Douglas (18216)",18216,S01007538,3956,89.52,96.91,92.45,4315,5397,4854,5852,4710,818,0.04,60,59.94,0,2.24,57.43,52.22,68.3
"Drs Quigley, Canning, Wedlock& Rosiou - Glasgow (52221)",52221,S01008409,5998,51.65,47.94,78.19,3443,2863,2720,1835,4817,6428,0.1,120,58.54,1,7.61,68.67,50.38,73.6
Drs Rao/Raman - Holytown (62120),62120,S01011499,3202,64.1,94.82,75.72,2654,3051,2045,2561,1643,3966,0.09,125,70.33,1,5.33,69.24,47.6,69.7
Drs Reid & MacLaren Partnership - Glasgow (40031),40031,S01010287,4499,88.78,94.42,93.06,5444,5854,5820,209,6034,6908,0.03,45,87.84,1,22.27,84.69,48.1,69.8
"Drs Rennie, Gallacher & Steel - Grantley Medical Practice, Glasgow (49553)",49553,S01009922,5700,78.62,76.24,93.3,5129,5375,5698,1118,5200,6490,0.04,60,81.94,1,15.65,71.44,51.68,69.8
"Drs Sharpe, Putta & Burns Practice - Edinburgh (70906)",70906,S01008468,3825,75.8,76.73,90.09,3468,3832,2914,1762,651,4287,0.07,80,58.3,1,14.6,70.41,47.5,73.9
"Drs Simpson, Luty & Ormond - Kilmacolm (86196)",86196,S01010816,2896,79.53,87.33,95.84,5462,6490,4698,5376,6558,5906,0.02,60,51.91,1,2.05,59.05,51.07,68.2
Drs Tierney & Canning - Glasgow (60110),60110,S01012860,4749,70.67,95.79,87.98,3097,3909,2856,3932,4225,6488,0.07,95,46.91,1,1.41,66.48,51.19,76.9
"Drs Twiddy, Thyne & Partners - Edinburgh (70408)",70408,S01008860,9350,83.13,78.78,92.59,4682,4844,5099,1123,5380,6845,0.04,60,78.11,1,15.31,73.33,50.45,73.9
Drumchapel Medical Practice - Glasgow (40544),40544,S01010499,3050,86.84,95.07,91.74,41,75,78,258,64,6363,0.31,240,59.89,1,15.3,68.2,49.97,69.8
Drumnadrochit Medical Practice - Inverness (55728),55728,S01010666,2386,78.17,91.77,91.61,3655,3860,4676,3426,4729,1376,0.07,80,60.54,0,2.54,62.03,50.25,78.6
Dryburgh Medical Practice - Wishaw (62914),62914,S01011401,4324,64.1,84.38,75.97,2364,2242,2251,4322,3098,6555,0.12,130,63.23,1,1.85,67.04,50.12,69.7
Drymen Health Centre - Drymen (25898),25898,S01013009,1555,85.66,87.28,92.2,3475,3929,3883,4366,5047,3760,0.07,75,54.93,0,2.37,64.95,50.61,74.8
Dunbeath Surgery - Caithness (55075),55075,S01010772,655,100,100,99.05,3379,2080,3563,4733.5,2924,176,0.12,100,57.61,0,1.84,52.52,49.16,78.6
Dunblane Medical Practice - Dunblane (25243),25243,S01013101,10603,70.04,82.02,91.41,2236,1933,2586,2640,3146,5253,0.13,115,62.45,1,2.01,62.3,50.81,74.8
Dundonald Medical Practice - Dundonald (80255),80255,S01012547,5440,67.14,96.35,81.92,3973,3142,3287,5060,4316,1287,0.09,80,53.28,0,2.41,59.17,50.86,71.9
Dunedin Medical Practice - Inverness (56011),56011,S01010613,2535,77.42,82.03,86.7,1994,2644,1936,3546,1910,5413,0.1,130,57.01,1,5.16,62.76,50.02,78.6
Duns Medical Group - Duns (16282),16282,S01012305,3174,62.29,93.39,88.03,3757,3004,3921,4323,3405,5063,0.09,90,56.1,0,6.02,62.26,49.62,79.3
Dunvegan Medical Practice - Isle Of Skye (55535),55535,S01010685,1824,87.79,96.06,95.41,3701,3671,3734,2090,3005,35,0.07,75,60.69,0,2.13,60.47,49.73,78.6
Durham Road Medical Group - Edinburgh (70605),70605,S01008735,6125,68.46,79.38,91.81,6443,5672,6377,6183,6107,6523,0.03,40,58.37,1,11.04,65.21,51.87,73.9
Earlston Medical Practice - Earlston (16564),16564,S01012269,3260,81.54,93.42,93.45,4422,5209,4848,6273,5364,3602,0.04,50,56.96,0,2.3,61.32,50.52,79.3
Easdale Medical Practice - Isle of Seil (84275),84275,S01007310,1048,99.29,99.19,97.49,4038,5010.5,5344,2002,4536,10,0.04,70,56.56,0,2.48,56.49,51.24,75.8
East Calder Medical Practice - East Calder (78024),78024,S01013297,13189,67.31,86.83,85.89,3338,4056,2599,4156,3503,2481,0.06,100,62.54,1,2.62,66.89,50.54,74.5
East Linton Surgery - East Linton (76194),76194,S01008280,2898,82.13,80.94,90.32,4604,5584,5664,2818,5882,1074,0.03,55,59.6,0,4.44,58.7,51.14,75.3
"East Practice, Springfield Medical Centre - Arbroath (10286)",10286,S01007189,4506,76.11,96.9,81.68,1365,1090,1521,2394,2745,6602,0.17,150,54.98,1,4.45,63.69,50.49,72.2
Eastfield Medical Practice - Penicuik (77036),77036,S01010945,6048,86.8,92.45,93.37,2087,2025,2833,4526,1780,4745,0.13,125,60.45,1,2.22,63.41,51.8,77.4
Eastwoodmains Medical Practice - Glasgow (49445),49445,S01008383,4703,80.61,88.28,87.69,6362,5979,5750,6736,6922,6608,0.03,50,62.17,1,5.63,62.75,50.67,73.6
"Ecclefechan Surgery - Ecclefechan, Lockerbie (18451)",18451,S01007654,2890,93.98,98.26,94.09,2611,3591,2560,3451,2762,2371,0.07,115,56.69,0,2.45,60.38,49.72,68.3
Eden Villa Practice - Cupar (20409),20409,S01009687,7466,58.9,89.49,80.68,4638,3943,4046,5289,3579,5078,0.06,80,62.06,1,2.49,59.47,51.34,70.4
Edenkiln Surgery - Strathblane (25065),25065,S01013008,2485,89,98.95,97.77,4873,4158,4892,6112,6221,2942,0.06,60,57.31,0,4.76,63.14,50.38,74.8
Edzell Health Centre - Edzell (13091),13091,S01007283,2691,80.6,95.29,88.2,4113,3852,4148,4525,5279,3690,0.07,75,50.99,0,3.03,56.97,50.46,72.2
Eglinton Family Practice - Irvine (80330),80330,S01011213,6108,69.25,94.07,86.34,829,1709,1291,1371,1123,1572,0.14,130,56.79,1,1.31,63.57,51.47,67.7
Eglinton Medical Centre - Glasgow (49093),49093,S01010033,2465,47.85,51.75,72.36,704,476,852,96,975,6267,0.22,190,69.71,1,37.05,71.72,40.89,69.8
Eildon Surgery - Newtown St Boswells (16051),16051,S01012344,6963,63.43,91.02,84.55,2863,2629,2750,3245,3134,3992,0.1,95,63.38,0,3.11,58.8,50.32,79.3
Ellon Group Practice - Ellon (31901),31901,S01006959,15765,46.81,86.5,83.23,2674,2935.5,3787,3559,2382,6921,0.09,75,57.59,1,2.35,62.09,50.1,79.5
Elmbank Group Practice - Aberdeen (30203),30203,S01006563,11442,68.98,90.95,91.86,5609.5,4939,4954,2829,6349,5453,0.04,60,58.35,1,22.03,66.4,50.6,71.8
Elmwood Medical Practice - Clarkston (49619),49619,S01008383,2787,65.71,85.03,77.58,6362,5979,5750,6736,6922,6608,0.03,50,62.17,1,5.63,59.96,50.99,73.6
Erskine Practice - Dundee (11486),11486,S01007728,7689,81.34,95.08,90.78,727,852,1551,123,164,6972,0.19,165,77.01,1,26.91,68.12,50.21,71.7
Eyemouth Medical Practice - Eyemouth (16507),16507,S01012316,6570,27.29,59,81.34,2458,2403,2388,3392,988,6243,0.11,115,52.98,1,6.21,58.55,51.13,79.3
Fairfield Medical Practice - Inverness (55836),55836,S01010639,6509,61.94,79.78,86.82,1464,788,1209,933,660,6480,0.19,165,68.23,1,12.98,71.9,48.38,78.6
Fallin Health Centre - Fallin (25169),25169,S01013036,6302,67.89,85.45,82.26,1338,1419,2000,1062,197,5764,0.15,140,67.37,0,0.26,65.3,51.14,74.8
Family Medical Group - Dundee (11382),11382,S01007727,9482,50.69,77.42,79.13,723,814,403,228,297,6703,0.19,215,77.6,1,19.75,68.02,49.28,71.7
Ferguson Medical Practice - Broxburn (78062),78062,S01013459,6698,74.12,78.16,80.88,1946,2025,1498,3929,2476,6586,0.13,135,61.64,1,8.72,67.87,50.69,74.5
Fernbank Medical Centre - Glasgow (43326),43326,S01010218,5146,46.91,80.21,72.27,422,455,427,450,1395,6627,0.22,195,73.39,1,18.07,78.72,37.99,69.8
Ferniehill Surgery - Edinburgh (70164),70164,S01008565,6920,70.22,80.64,83.81,957,1064,1051,1726,1081,6538,0.17,170,60.14,1,14.3,66.84,50.65,73.9
Finlayson Street Practice - Fraserburgh (31511),31511,S01007126,9383,46.81,88.52,82.68,826,648,955,926,236,5746,0.2,175,65.17,1,31.93,64.4,49.95,79.5
Fochabers Medical Practice - Fochabers (32750),32750,S01011089,4446,41.47,67.52,80.86,2477,2056,3487,3658,2238,2145,0.12,95,55.73,0,1.22,59.81,52.11,75.3
Forestbank Medical Partnership - Harthill (62844),62844,S01011442,3633,47.55,81,74.67,1853,1280,1145,3329,2157,6773,0.16,175,61.22,1,2.64,65.46,49.02,69.7
"Forth Medical Group - Bannockburn, Stirling (26015)",26015,S01013045,23609,28.95,61.97,73.85,3540,3505,3393,4172,2886,6418,0.08,105,63.73,1,6.45,67.03,49.88,74.8
Forthview Practice - Bo'ness (25070),25070,S01009257,4364,62.86,85.01,82.48,3964,3329,4237,2123,3975,6652,0.08,65,66.67,1,6.29,64.37,50.07,75.2
Fortrose Medical Practice - Fortrose (55381),55381,S01010721,4963,81.97,77.63,92.58,4775,4660.5,6100,4935,5904,1763,0.05,45,56.19,0,4.27,58.11,51.04,78.6
Frew Terrace Surgery - Irvine (80698),80698,S01011219,11431,75.6,90.82,91.76,530,732,466,2853,584,5934,0.19,185,63.18,1,1.41,65.57,51.02,67.7
Friockheim Health Centre - Friockheim (13335),13335,S01007227,3477,95.46,100,96.75,3555,3029,4083,3959,4197,1224,0.09,90,62.55,0,2.6,59.02,50.56,72.2
Fullwood Medical Practice - New Stevenson (62045),62045,S01011461,2542,42.88,79.57,77.88,943,1450,1489,437,973,5013,0.15,150,72.58,1,5.68,67.78,49.25,69.7
Fulton Street Medical Centre - Glasgow (40008),40008,S01010475,6120,75.11,97.15,91.94,5359,5441,4761,1619,5445,3136,0.04,65,80.46,1,15.07,73.92,51.83,69.8
Fyvie Oldmeldrum Medical Group - Oldmeldrum (31719),31719,S01006985,8954,55.82,94.51,83.99,5518.5,5427,5383,5622,4542,5876,0.04,45,61.03,1,2.18,65.6,48.88,79.5
Gairbraid Medical Practice - Glasgow (43011),43011,S01010360,5751,77.13,95.76,90.6,332,756,486,254,724,6088,0.19,205,65.35,1,17.11,69.36,48.93,69.8
Galloway Hills Medical Practice - Newton Stewart (18625),18625,S01007518,4521,48.06,46.09,82.07,1963,2311,2468,3506.5,3228,6655,0.11,140,58.5,0,1.8,56.69,50.28,68.3
Gallowhill Medical Centre - Larkhall (63512),63512,S01012661,1677,68.47,74.05,76.07,4321,4541,3932,4252,3540,3298,0.05,75,68.01,1,1.76,64.4,47.53,76.9
Galston Medical Practice - Galston (80260),80260,S01007952,6096,56.12,91.78,84.08,630,346,289,1524,3151,5872,0.24,185,62.46,1,1.62,62.81,50.66,73
Gardner Street Surgery - Glasgow (40192),40192,S01010396,2933,82.44,98.32,86.81,2566,3305,2225,477,4444,6963,0.08,120,78.3,1,13.75,76.47,51.72,69.8
Garelochhead Medical Centre - Garelochhead (85117),85117,S01007379,1868,84.4,95.51,92.39,2831,2903,2667,3983,996,3335,0.09,115,61.23,0,1.45,62.85,49.95,75.8
Garscadden Burn Medical Practice - Glasgow (40436),40436,S01010499,5142,61.44,89.67,81.92,41,75,78,258,64,6363,0.31,240,59.89,1,15.3,65.17,51.48,69.8
Garthdee Medical Group - Aberdeen (30030),30030,S01006528,10166,63.73,67.34,84.96,3529,4079,3285,1723,3178,3717,0.06,90,71.84,1,22.92,72.61,48.81,71.8
Gergask Surgery - By Newtonmore (55944),55944,S01010532,463,96.24,96.08,98.74,4114.5,6329,6195,3367,4180,166,0.02,45,59.75,0,3.77,69.11,49.68,78.6
Gilbert Road Medical Group - Aberdeen (31211),31211,S01006738,9763,57.92,79.26,82.36,4198,4170.5,3986,2665,1815,4386,0.06,60,75.47,1,11.22,63.93,49.38,71.8
Gillbrae Medical Practice - Dumfries (18310),18310,S01007609,13400,85.15,90.07,87.16,1631,1497,1160,3544,2359,3266,0.15,145,65.38,1,3.71,62.58,51.34,68.3
Gilmore Medical Practice - Edinburgh (71222),71222,S01008665,8024,82.25,92.8,93.92,3944,4528,4743,113,4770,6351,0.05,75,89.12,1,28.84,89.99,50.67,73.9
Glasgow West Medical Practice - Glasgow (40629),40629,S01010422,5332,74.73,91.6,86.68,3478,3404,3105,2896,6284,6591,0.08,100,65.05,1,9.28,73.87,49.98,69.8
Glebe Medical Practice - Lesmahagow (62632),62632,S01012645,6368,56.25,90.95,87.63,2523,3454,3346,4420,3242,6922,0.08,95,58.35,1,3.75,61.46,50.96,76.9
Glen Mor Medical Practice - Fort William (55610),55610,S01010510,5584,80.1,79.3,90.57,3824,4243,3432,4463,3203,2408,0.06,85,56.55,1,3.41,66.8,49.75,78.6
Glenboig Surgery (60228),60228,S01011692,3681,74.18,94.41,82.81,1628,1809,896,3171,1042,3204,0.13,170,62.38,0,1.3,64.3,49.69,69.7
Glenburn Medical Practice - Paisley (87517),87517,S01012102,3347,67.97,80.84,79,804,987,1015,1210,1232,6231,0.18,160,68.22,1,3.73,71.5,47.18,77.1
Glenelg Health Centre - Glenelg (55554),55554,S01010669,254,93.98,98.79,95.65,5088,5329.5,5708,3907,4821,15,0.04,45,57.78,0,1.97,64.96,49.21,78.6
Glenfield Medical Practice - Galashiels (16244),16244,S01012285,1991,91.78,97.56,98.27,4749,3191,4377,4059,5668,4917,0.09,70,54.86,1,3.17,68.31,50.68,79.3
Gleniffer Medical Group - Barrhead (87019),87019,S01008310,8988,56.19,93.53,78.82,2810,2967,2051,3286,4998,5523,0.09,140,65.72,1,1.69,63.27,52.34,73.6
Glenkens Medical Practice - New Galloway (18235),18235,S01007550,1833,95.7,100,96.85,2342,2351,3410,3936,4321,3113,0.11,105,52.57,0,1.52,60.28,49.59,68.3
Glenlivet Medical Practice - Ballindalloch (33061),33061,S01011045,586,77.58,88.86,93.65,4344,4950,6155,5038,3219,269,0.04,40,57.62,0,3.91,59.9,47.78,75.3
Glenluce Surgery - Wigtownshire (18589),18589,S01007503,2031,96.22,98.69,97.85,3020,3226,3627,4023,2195,334,0.08,105,56.27,0,2.77,60.96,50.07,68.3
Glenmill Medical Practice - Glasgow (46057),46057,S01010184,6965,66.27,72.36,77.62,696,827.5,851,409,726,4285,0.19,200,61.03,1,3.02,69.26,49.12,69.8
Golspie Medical Practice (55220),55220,S01010770,2006,83.38,91.84,93.23,2848,1461,2732,5413,3436,2158,0.15,125,59.19,0,2.96,57.03,52.54,78.6
Gourock Medical Practice - Gourock (86001),86001,S01010842,8120,60.79,62.9,92.68,753,205,467,726,1290,6883,0.26,185,60.16,1,4.45,62.88,51.9,68.2
Gracemount Medical Practice - Edinburgh (70516),70516,S01008557,8654,53.01,81.08,77.2,1426,1539.5,1184,1428,510,5004,0.15,170,65.36,1,21.01,65.66,51.14,73.9
Graeme Medical Centre - Falkirk (25309),25309,S01009138,5530,42.04,61.18,75.12,5224,4891,4795,5410,4639,5272,0.04,55,68.43,1,9.41,66.09,49.91,75.2
Grange Medical Group - Edinburgh (70412),70412,S01008610,7827,87.61,97.03,92.83,5483,6572,6086,2911.5,6784,6360,0.02,45,61.36,1,12.26,63.28,51.35,73.9
Grantown On Spey Medical Practice - Grantown On Spey (55925),55925,S01010546,5408,71.62,98.34,86.73,4002,4897,3878,4423.5,3756,6419,0.04,80,55.28,0,9.36,58.88,50.92,78.6
Great Western Medical Practice - Aberdeen (30307),30307,S01006545,10205,65.89,89.14,83.35,6217.5,5967,6012,4757,6408,4572,0.03,35,65.27,1,14.37,61.23,51.14,71.8
"Green Practice, Whitefriars Surgery - Perth (13891)",13891,S01011893,9187,80.11,88.94,92.23,3253,2407,3216,2998,4086,5998,0.11,105,69.1,1,6.24,64.24,51.61,75.3
Greencroft South Medical Group - Annan (18409),18409,S01007661,6456,80.4,100,93.89,2890,3014.5,2658,3825,2880,6902,0.09,100,62.65,1,5.15,61.45,49.95,68.3
Greenlaw Medical Practice - Newton Mearns (49568),49568,S01008331,4816,41.68,78.63,67.61,5006,4932.5,5325,4599,5648,3048,0.04,55,63.45,1,16.11,69.5,47.03,73.6
Greenlaw Surgery - Greenlaw (16475),16475,S01012300,1402,100,100,100,2675.5,2871.5,3233,4184.5,2566,4292,0.09,90,62.32,0,3.68,62.7,49.86,79.3
Gretna Surgery - Gretna (18428),18428,S01007678,4887,75.74,91.16,87.57,1893,2758,3500,3029,942,6847,0.1,115,57.22,1,1.14,59.67,50.11,68.3
Greyfriars Medical Centre - Dumfries (18560),18560,S01007612,11959,69.25,93.67,86.42,682,197,375,999,1316,6592,0.26,195,71.58,1,10.25,63.86,51.32,68.3
Grove Health Centre - Dundee (10106),10106,S01007758,6075,58.85,85.45,83.48,4659,4206,5270,6030,6829,6771,0.06,50,50.32,1,5.12,56.28,52.33,71.7
Gullane Medical Practice - Gullane (76029),76029,S01008263,5824,75.28,90.52,95.15,5475,5132,4749,6052,5270,1371,0.04,60,55.61,0,6.32,57.54,51.13,75.3
Haddo Medical Group - Ellon (31916),31916,S01006982,5532,56.68,87.85,88.82,5817,6292,6317,4778,5236,1722,0.02,30,64.23,0,3.63,62.83,49.69,79.5
Hamilton Medical Group - Aberdeen (30218),30218,S01006571,9420,65.85,74.11,77.12,6029,6230,6727,3853,6699,6283,0.02,25,69.7,1,13.4,68.33,49.5,71.8
Hamilton West Medical Practice - Hamilton (63461),63461,S01012792,6693,34.63,85.25,75.93,2214,2122,933,3436,4510,6744,0.12,140,56.24,1,4.6,67.91,49.71,76.9
Hawkhill Medical Centre - Dundee (11363),11363,S01007693,11662,67.54,97.11,89.66,3612,3824,3738,16,1312,6338,0.07,90,91.15,1,25.26,78.89,51.63,71.7
Heilendi Practice - Orkney (38205),38205,S01011817,3910,83.29,92.19,89.78,4468,5083,5175,5842,5466,1187,0.04,60,59.96,0,0.96,60.74,50.1,83.7
Helmsdale/Brora Med Practice - Brora (55287),55287,S01010767,2524,86.77,96.31,95.01,2241,1705,2574,3961,2396,2819,0.14,110,56.81,0,2.27,55.94,50.08,78.6
Hermitage Medical Practice - Edinburgh (71449),71449,S01008627,7358,71.71,87.18,90.7,6929,6909,6777,6504,6976,5678,0.01,30,55.64,1,10.01,65.52,52.73,73.9
High Mill Medical Practice - Carluke (62219),62219,S01012602,6712,58.52,65.82,87.79,836,781,594,4931,3287,5539,0.19,180,61.67,1,1.19,61.49,51.07,76.9
Hillbank Health Centre - Dundee (11861),11861,S01007716,7934,57.24,82.26,79.87,463,762.5,589,156,332,6860,0.19,200,64.03,1,23.34,68.45,47.68,71.7
Hillswick Health Centre - Shetland (39034),39034,S01012412,823,98.63,100,96.63,5238,4133,4409,4675,4727,157,0.06,60,59.26,0,2.79,58.2,51.15,74.6
Holburn Medical Group - Aberdeen (30059),30059,S01006571,8935,75.32,82.78,87.42,6029,6230,6727,3853,6699,6283,0.02,25,69.7,1,13.4,69.99,50.34,71.8
Hospital Hill Surgery - Dunfermline (20471),20471,S01009360,8725,49.79,75.72,82.25,5431,5212,4633,5603,4823,4970,0.04,55,62.15,1,6.23,65.4,50.41,70.4
Howden Health Centre - Livingston (78255),78255,S01013309,12264,43.18,67.74,75.52,4544,3954,2427,5529,4391,3243,0.06,80,69.76,1,10.22,68.72,50.53,74.5
Howe of Fife Surgery - Fife (21101),21101,S01009666,4556,64.57,93.5,89.52,3460,3166,3173,4817,2890,3637,0.09,95,55.81,0,2.37,61.55,50.79,70.4
Huntergreen Medical Practice - East Kilbride (63264),63264,S01012928,7680,53.21,78.64,87.98,4917,5297,4686,4546,4798,3153,0.04,60,61.49,1,3.58,65.62,50.96,76.9
Inchcruin Practice - Alexandria (85259),85259,S01013228,3621,64.77,72.55,85.24,983,1055,982,1349.5,477,6398,0.17,155,67.62,1,1.71,65.78,50.26,72.8
Inchpark Surgery - Edinburgh (70291),70291,S01008583,5825,64.22,86.73,81.23,2057,2517,2508,1179,3079,4001,0.11,125,63.96,1,23.84,67.78,49.34,73.9
Insch Medical Practice - Insch (32001),32001,S01007001,6544,78.96,92.54,86.76,3946,3764,4507,5686,5296,5138,0.07,65,56.59,0,1.8,60.91,49.68,79.5
Inverbervie Medical Group - Inverbervie (32514),32514,S01006815,5793,62.18,92.28,85.88,3228,3135,3628,3005,3856,4162,0.09,85,59.6,0,3.64,64.08,50.58,79.5
Inveresk Medical Practice - Musselburgh (76141),76141,S01008176,9497,78.76,92.32,96.09,4579,3917,5032,3729,4788,2903,0.07,50,61.35,1,5.91,65.99,52.49,75.3
Invergowrie Medical Practice - Invergowrie (13369),13369,S01011968,1881,75.14,90.8,87.01,5288,5609,4909,3204,5082,4537,0.03,70,61.52,1,7.53,63,49.71,75.3
Inverkeithing Medical Group - Inverkeithing (20752),20752,S01009389,18109,74.08,94.13,93.35,4283,3604,3124,4708,3409,6134,0.07,80,62.12,1,3.52,63.09,50.27,70.4
Inverurie Medical Group - Inverurie (32021),32021,S01006905,25062,55.14,86.49,87.37,5187,4116,4652,5312,5091,3869,0.06,60,58.52,1,3.14,62.94,50.52,79.5
Islands View Surgery - Orkney (38084),38084,S01011830,273,87.18,97.05,92.92,2865,3467,3950,1798,4282,146,0.08,90,55.36,0,3.98,53.48,52.38,83.7
Jamieson Medical Practice - Chryston (60054),60054,S01011706,14405,33.16,70.3,68.45,2786,2742,1950,3837,3012,4980,0.1,130,60.72,1,3.6,66.44,51.09,69.7
Jedburgh Medical Practice - Jedburgh (16032),16032,S01012352,6928,50.5,81.99,83.78,3469,4973,4126,5141,3878,6732,0.04,70,57.49,1,1.59,59.99,50.59,79.3
John Street Surgery - Bellshill (62050),62050,S01011522,8043,31.67,73.93,63.43,927,1042,522,2213,1424,6605,0.17,185,68.76,1,7.3,66.72,51.63,69.7
Jura Medical Practice - Isle of Jura (84383),84383,S01007324,265,87.64,100,89.53,5122,6027.5,6071,3428,1994,89,0.03,50,61.11,0,6.1,58.11,50.94,75.8
Keith Medical Group - Keith (32904),32904,S01011062,7280,36.06,57.96,66.69,3092,3619,4638,4626,2073,6227,0.07,60,63.4,0,1.74,61.92,50.25,75.3
Kelso Medical Group - Kelso (16136),16136,S01012337,11852,80.9,95.16,87.91,1587,1161,2326,5086,3085,6193,0.17,115,61.95,0,4.84,57.34,51.67,79.3
Kelty Medical Practice - Kelty (20803),20803,S01009424,7306,64.74,94.12,90.48,2992,3093,2671,6025,2532,3600,0.09,95,60.17,1,1.18,63.58,50.03,70.4
Kelvin Medical Centre - Glasgow (43203),43203,S01010306,4148,58.55,60.28,77.64,3611,3794,3999,202,5027,6704,0.07,100,86.53,1,23.4,80.11,48.6,69.8
Kemnay Medical Group - Inverurie (32035),32035,S01006891,6467,67.92,81.89,88.37,4466,5448,4591,4556,4865,6027,0.04,65,58.82,1,4.52,63.49,50.07,79.5
Kenilworth Medical Centre - Cumbernauld (61358),61358,S01011742,12976,51.63,81.65,73.87,2311,2702,2554,2492,2410,4361,0.1,115,60.69,1,1.19,64.82,50.75,69.7
Kenmure Medical Practice - Glasgow (43171),43171,S01008111,7924,79.36,79.99,87.08,5701,5193,4497,5191,6248,3794,0.04,70,56.4,1,4.49,62.58,51.89,75.9
Kennoway Medical Group - Fife (20856),20856,S01009657,4184,57.88,82.49,79.78,2548,2719.5,2934,4191,2923,4609,0.1,115,65.75,1,4.06,62.79,51.51,70.4
